id,name,comment,tf
210,mg39858068VKAw,没有我鬼,没有
211,可乐味的小确幸,终于开播了,终于
212,可乐味的小确幸,终于开播了,终于
213,飞龙在天57jVW,好看。,好看
214,mg41948001TupB,期待期待,期待
215,王佑吉吉,鬼鬼 鬼鬼 呼叫鬼鬼,呼叫
216,蟹家堡的小猴子,小白,小白
217,周彤玥,打卡,打卡
218,周彤玥,打卡,打卡
219,mg29206945ddeY,啊啊啊啊啊,啊啊啊
220,mg29206945ddeY,啊啊啊啊啊,啊啊啊
221,WECHAT_a9zagffojeh7,二哈二哈,二哈二哈
222,籹孒不认输48HwxZ,喜欢,喜欢
223,mg46505361vlzM,哈哈,哈哈
224,Kun家的ikun,白白,白白
225,小帅哥89UZS,大侦探,侦探
226,Ya99AiS,好看,好看
227,mg13766736NPQ,棒棒哒,棒棒
228,无悔青春78qTv,白白,白白
229,无悔青春78qTv,白白,白白
230,mg85462521vCY,从第一部开始，我就很喜欢明星大侦探！很有趣很有趣！！当上一部完结的时候，还在想什么时候会出下一部。后来就一直等啊等啊等，现在终于出了！！！超级激动的＼(≧▽≦)/！！！因为自己是个学生，两个星期才回一次家碰手机，好失望。但，这不妨碍我看！！！开心！,侦探
231,棉花糖是苦的,好看好看,好看
232,蜜糖22YDw,期待很久了哦,期待
233,蜜糖22YDw,希望可以一直办下去   超级喜欢的,下去
234,清晨86iDTu,好看吗,好看
235,单色四叶草92SplJ,第一,第一
236,单色四叶草92SplJ,第一,第一
237,zha647237,开始了,开始
238,QQ_apHxugY6jayi,little白,little
239,QQ_adefxaKL0kxq,来吧，我准备好了,准备
240,酥酥呀00,小白,小白
241,柚子茶47Yhp,为啥没有鬼鬼呢?,没有
242,柚子茶47Yhp,为啥没有鬼鬼呢?,没有
243,颜小千,是我打开的方式不对嘛，怎么还没有。。。。。,怎么
244,颜小千,居然还没有,没有
245,颜小千,居然还没有,没有
246,颜小千,1分钟,分钟
247,颜小千,2分钟,分钟
248,颜小千,快十二点了，怎么还没有,没有
249,缺月挂疏桐,还有3分钟，坐等,还有
250,多黑的天总得亮,哈哈,哈哈
251,MENTAI65rgAF,小白,小白
252,谢谢灵灵,坐等,坐等
253,谢谢灵灵,坐等,坐等
254,陪敖子逸成为世界中心啊,打call打call,call
255,律笺文50ILBR,喜欢大侦探,喜欢
256,9387LBL,还有十五分钟！！！,还有
257,Zoey06cLid,何撒鬼白欧什么时候再合体啊，超期待的,合体
258,Silence_Season,大侦探！,侦探
259,Silence_Season,大侦探！,侦探
260,居一龙的女朋友,2333,2333
261,喵趴,打卡,打卡
262,mg36955318Zvf,坐等中午更新,更新
263,J64cAa,看剧,看剧
264,陳陸楠,哈哈,哈哈
265,QQ_alllR3mIgdXM,白敬亭,白敬亭
266,QQ_alllR3mIgdXM,白敬亭,白敬亭
267,一只认真的小银,我在等今天中午的正片,今天
268,mg55290389nmVx,没VIP怎么办！,怎么办
269,QQ_agR8ejALWAQ4,坐等12.00,坐等
270,玖之81lObV,我的白白太聪明辽，bjt不加糖，白敬亭哈哈哈,加糖
271,玖之81lObV,我的白白太聪明辽，bjt不加糖，白敬亭哈哈哈,加糖
272,mg81923183lQGE,好看,好看
273,看不到的无声泪,知道明星大侦探又来了，就充钱了??,明星
274,mg51031895beu,好看,好看
275,紫勒个婷,好看,好看
276,北葵向暖14wWy,周五了,周五
277,宠你13ALG,终于来了,终于
278,宠你13ALG,终于来了,终于
279,染49qrB,小白小白,小白小白
280,彼此都陌生54gVv,蔡徐坤,徐坤
281,颖火之关,就是,就是
282,wuli峰峰吖,好看,好看
283,骨病养生,好看,好看
284,用户5957699492,真好看,好看
285,17863856190,啊啊啊啊啊啊,啊啊啊
286,17863856190,啊啊啊啊啊啊,啊啊啊
287,mg31567789Pxll,何炅还是很棒！,还是
288,薇薇1222,白敬亭顾南衣,顾南衣
289,染巷九喵,正片在哪里啊,哪里
290,糖糖糖汐,双北！,双北
291,张起灵的小仙女,白白,白白
292,周萌84QXS,好haha,haha
293,不再湘逢,好想鬼鬼,鬼鬼
294,星星71zGA,好期待,期待
295,蔡徐坤的苏子衿,好看,好看
296,兜兜35puwv,看了好几遍,好几遍
297,咸菜咸菜1,好看,好看
298,PERI0525,今天中午12点就要更新了，好激动，更了我就要开会员了?钱兜子都献给你了芒果??,兜子
299,mg94901438GeOr,今天！,今天
300,mg94901438GeOr,今天！,今天
301,敲喜歡你,刘昊然,刘昊然
302,问_____念否,等待,等待
303,九命82dVU,啊啊啊啊啊，快开始了，激动,开始
304,莹莹玉竹筱,打卡,打卡
305,菟族失心,好看,好看
306,君如玉666,回来啦  真好！,回来
307,彼岸55Etw,终于来了,终于
308,Twenty57MOLy,终于等到了周五,终于
309,mg30227602eQGI,今天更新啦,今天
310,mg30227602eQGI,今天更新啦,今天
311,lainkay,周五啦，周五啦，今天播出第一期！✌️✌️,播出
312,王一楠楠,刘昊然,刘昊然
313,ekhkzm807220,什么时候才是正片啊?,什么
314,neverchange08NCj,第四季了,第四季
315,李是风景易如你,周五来了来了来了～明星大侦探要更新了更新了！开心ヽ(○^㉨^)ﾉ♪～等着呢～,开心
316,陌殇11HEA,好看,好看
317,mg32013913kLA,正在看第一季的过来看看第四季，很喜欢何撒鬼白鸥这个组合，若昀和昊然也喜欢，但是鬼鬼怎么没有回归呢？谁能告诉我期间发生什么了吗？,何撒鬼
318,mg32013913kLA,正在看第一季的过来看看第四季，很喜欢何撒鬼白鸥这个组合，若昀和昊然也喜欢，但是鬼鬼怎么没有回归呢？谁能告诉我期间发生什么了吗？,何撒鬼
319,mg32013913kLA,正在看第一季的过来看看第四季，很喜欢何撒鬼白鸥这个组合，若昀和昊然也喜欢，但是鬼鬼怎么没有回归呢？谁能告诉我期间发生什么了吗？,何撒鬼
320,晨83YoNU,666,666
321,mg42103847doAV,哈哈哈,哈哈哈
322,mg98190710jENG,打卡,打卡
323,包子呗,终于周五了！！！！,终于
324,棣媳fu,66,66
325,煖昤,啊啊啊啊啊,啊啊啊
326,vina04jHnm,期待,期待
327,QQ豆儿,等的我好着急啊，今天第一期开播！,着急
328,mg09351183QsV,好看,好看
329,蝴蝶兰520,好神秘,神秘
330,无语2lh,好看,好看
331,迷失的小紅帽77UWj,好看,好看
332,琰儿呐,又是好几刷,好几
